Code,P-V,CIC_CRIME_DESCRIPTION,CPE_CONTACT_DATE_YYMD,Month
CC2000001 -1310,!-W,CRIMINAL DAMAGE TO PROPERTY        ,2020-01-01,1
CC2000001 -8357,W-W,BATTERY -CITY                      ,2020-01-01,1
CC2000002 -1410,B-!,UNLAWFUL USE OF WEAPONS            ,2020-01-01,1
CC2000003 -1415,B-B,AGG DISCHARGE OF FIREARM           ,2020-01-01,1
CC2000003 -510,B-B,ASSAULT-AGGRAVATED                 ,2020-01-01,1
CC2000004 -486,W-W,BATTERY-DOMESTIC                   ,2020-01-01,1
CC2000005 -486,W-W,BATTERY-DOMESTIC                   ,2020-01-01,1
CC2000012 -2820,W-B,TELEPHONE THREAT                   ,2020-01-01,1
CC2000013 -805,B-W,THEFT OF LOST/MISLAID PROPERTY     ,2020-01-01,1
CC2000014 -1310,B-B,CRIMINAL DAMAGE TO PROPERTY        ,2020-01-01,1
CC2000014 -488,B-B,BATTERY-AGG DOMESTIC               ,2020-01-01,1
CC2000018 -486,W-W,BATTERY-DOMESTIC                   ,2020-01-01,1
CC2000022 -2820,W-W,TELEPHONE THREAT                   ,2020-01-01,1
CC2000023 -486,B-B,BATTERY-DOMESTIC                   ,2020-01-01,1
CC2000024 -410,W-B,BATTERY-AGGRAVATED                 ,2020-01-01,1
CC2000027 -1310,!-B,CRIMINAL DAMAGE TO PROPERTY        ,2020-01-01,1
CC2000028 -486,B-B,BATTERY-DOMESTIC                   ,2020-01-02,1
CC2000030 -1310,!-A,CRIMINAL DAMAGE TO PROPERTY        ,2020-01-02,1
CC2000042 -486,B-B,BATTERY-DOMESTIC                   ,2020-01-02,1
CC2000042 -488,B-B,BATTERY-AGG DOMESTIC               ,2020-01-02,1
CC2000048 -488,H-W,BATTERY-AGG DOMESTIC               ,2020-01-02,1
CC2000050 -650,!-B,HOME INVASION                      ,2020-01-02,1
CC2000053 -8368,W-!,THEFT GENERALLY                    ,2020-01-01,1
CC2000055 -1310,!-B,CRIMINAL DAMAGE TO PROPERTY        ,2020-01-02,1
CC2000058 -486,H-H,BATTERY-DOMESTIC                   ,2020-01-03,1
CC2000060 -1310,B-W,CRIMINAL DAMAGE TO PROPERTY        ,2020-01-03,1
CC2000060 -410,B-W,BATTERY-AGGRAVATED                 ,2020-01-03,1
CC2000063 -760,!-W,BURGLARY FROM MOTOR VEHICLE        ,2020-01-02,1
CC2000068 -910,B-W,THEFT-MOTOR VEHICLE                ,2020-01-03,1
CC2000069 -625,!-B,BURGLARY RESIDENTIAL               ,2020-01-03,1
CC2000073 -486,B-B,BATTERY-DOMESTIC                   ,2020-01-03,1
